nama_kabupaten_kota,tahun,kab/kota,keterangan,total
KABUPATEN BOGOR,2021-01-01,Bogor,Gizi Kurang,16821.0
KABUPATEN SUKABUMI,2021-01-01,Sukabumi,Gizi Kurang,6099.0
KABUPATEN CIANJUR,2021-01-01,Cianjur,Gizi Kurang,5788.0
KABUPATEN BANDUNG,2021-01-01,Bandung,Gizi Kurang,8809.0
KABUPATEN GARUT,2021-01-01,Garut,Gizi Kurang,313.0
KABUPATEN TASIKMALAYA,2021-01-01,Tasikmalaya,Gizi Kurang,4572.0
KABUPATEN CIAMIS,2021-01-01,Ciamis,Gizi Kurang,2368.0
KABUPATEN KUNINGAN,2021-01-01,Kuningan,Gizi Kurang,2461.0
KABUPATEN CIREBON,2021-01-01,Cirebon,Gizi Kurang,13385.0
KABUPATEN MAJALENGKA,2021-01-01,Majalengka,Gizi Kurang,3705.0
KABUPATEN SUMEDANG,2021-01-01,Sumedang,Gizi Kurang,2382.0
KABUPATEN INDRAMAYU,2021-01-01,Indramayu,Gizi Kurang,5586.0
KABUPATEN SUBANG,2021-01-01,Subang,Gizi Kurang,2736.0
KABUPATEN PURWAKARTA,2021-01-01,Purwakarta,Gizi Kurang,922.0
KABUPATEN KARAWANG,2021-01-01,Karawang,Gizi Kurang,2914.0
KABUPATEN BEKASI,2021-01-01,Bekasi,Gizi Kurang,15485.0
KABUPATEN BANDUNG BARAT,2021-01-01,Bandung Barat,Gizi Kurang,5210.0
KABUPATEN PANGANDARAN,2021-01-01,Pangandaran,Gizi Kurang,347.0
KOTA BOGOR,2021-01-01,Kota Bogor,Gizi Kurang,2990.0
KOTA SUKABUMI,2021-01-01,Kota Sukabumi,Gizi Kurang,621.0
KOTA BANDUNG,2021-01-01,Kota Bandung,Gizi Kurang,4996.0
KOTA CIREBON,2021-01-01,Kota Cirebon,Gizi Kurang,2394.0
KOTA BEKASI,2021-01-01,Kota Bekasi,Gizi Kurang,5662.0
KOTA DEPOK,2021-01-01,Kota Depok,Gizi Kurang,2397.0
KOTA CIMAHI,2021-01-01,Kota Cimahi,Gizi Kurang,1221.0
KOTA TASIKMALAYA,2021-01-01,Kota Tasikmalaya,Gizi Kurang,3766.0
KOTA BANJAR ,2019-01-01,Kota Banjar,Gizi Kurang,
KOTA BANJAR ,2020-01-01,Kota Banjar,Gizi Kurang,
KOTA BANJAR,2021-01-01,Kota Banjar,Gizi Kurang,603.0
KABUPATEN BOGOR,2010-01-01,Bogor,Balita Pendek,
KABUPATEN SUKABUMI,2010-01-01,Sukabumi,Balita Pendek,
KABUPATEN CIANJUR,2010-01-01,Cianjur,Balita Pendek,
KABUPATEN BANDUNG,2010-01-01,Bandung,Balita Pendek,
KABUPATEN GARUT,2010-01-01,Garut,Balita Pendek,
KABUPATEN TASIKMALAYA,2010-01-01,Tasikmalaya,Balita Pendek,
KABUPATEN CIAMIS,2010-01-01,Ciamis,Balita Pendek,
KABUPATEN KUNINGAN,2010-01-01,Kuningan,Balita Pendek,
KABUPATEN CIREBON,2010-01-01,Cirebon,Balita Pendek,
KABUPATEN MAJALENGKA,2010-01-01,Majalengka,Balita Pendek,
KABUPATEN SUMEDANG,2010-01-01,Sumedang,Balita Pendek,
KABUPATEN INDRAMAYU,2010-01-01,Indramayu,Balita Pendek,
KABUPATEN SUBANG,2010-01-01,Subang,Balita Pendek,
KABUPATEN PURWAKARTA,2010-01-01,Purwakarta,Balita Pendek,
KABUPATEN KARAWANG,2010-01-01,Karawang,Balita Pendek,
KABUPATEN BEKASI,2010-01-01,Bekasi,Balita Pendek,
KABUPATEN BANDUNG BARAT,2010-01-01,Bandung Barat,Balita Pendek,
KABUPATEN PANGANDARAN,2010-01-01,Pangandaran,Balita Pendek,
KOTA BOGOR,2010-01-01,Kota Bogor,Balita Pendek,
KOTA SUKABUMI,2010-01-01,Kota Sukabumi,Balita Pendek,
KOTA BANDUNG,2010-01-01,Kota Bandung,Balita Pendek,
KOTA CIREBON,2010-01-01,Kota Cirebon,Balita Pendek,
KOTA BEKASI,2010-01-01,Kota Bekasi,Balita Pendek,
KOTA DEPOK,2010-01-01,Kota Depok,Balita Pendek,
KOTA CIMAHI,2010-01-01,Kota Cimahi,Balita Pendek,
