nama_kabupaten_kota,tahun,kab/kota,keterangan,total
KABUPATEN MAJALENGKA,2020-01-01,Majalengka,Total Anak 0-23 Bulan,31575.0
KABUPATEN SUMEDANG,2020-01-01,Sumedang,Total Anak 0-23 Bulan,21211.0
KABUPATEN INDRAMAYU,2020-01-01,Indramayu,Total Anak 0-23 Bulan,32354.0
KABUPATEN SUBANG,2020-01-01,Subang,Total Anak 0-23 Bulan,46601.0
KABUPATEN PURWAKARTA,2020-01-01,Purwakarta,Total Anak 0-23 Bulan,21805.0
KABUPATEN KARAWANG,2020-01-01,Karawang,Total Anak 0-23 Bulan,40661.0
KABUPATEN BEKASI,2020-01-01,Bekasi,Total Anak 0-23 Bulan,40549.0
KABUPATEN BANDUNG BARAT,2020-01-01,Bandung Barat,Total Anak 0-23 Bulan,40989.0
KABUPATEN PANGANDARAN,2020-01-01,Pangandaran,Total Anak 0-23 Bulan,7346.0
KOTA BOGOR,2020-01-01,Kota Bogor,Total Anak 0-23 Bulan,
KOTA SUKABUMI,2020-01-01,Kota Sukabumi,Total Anak 0-23 Bulan,
KOTA BANDUNG,2020-01-01,Kota Bandung,Total Anak 0-23 Bulan,
KOTA CIREBON,2020-01-01,Kota Cirebon,Total Anak 0-23 Bulan,
KOTA BEKASI,2020-01-01,Kota Bekasi,Total Anak 0-23 Bulan,
KOTA DEPOK,2020-01-01,Kota Depok,Total Anak 0-23 Bulan,
KOTA CIMAHI,2020-01-01,Kota Cimahi,Total Anak 0-23 Bulan,
KOTA TASIKMALAYA,2020-01-01,Kota Tasikmalaya,Total Anak 0-23 Bulan,
KOTA BANJAR,2020-01-01,Kota Banjar,Total Anak 0-23 Bulan,2755.0
KABUPATEN BOGOR,2021-01-01,Bogor,Total Anak 0-23 Bulan,128793.0
KABUPATEN SUKABUMI,2021-01-01,Sukabumi,Total Anak 0-23 Bulan,71774.0
KABUPATEN CIANJUR,2021-01-01,Cianjur,Total Anak 0-23 Bulan,63885.0
